# Experiment B Erlang  module=scenario_hwh_duties  runs=3
# N	run1_ms	run2_ms	run3_ms
1000	3374	3586	3478
2000	15499	14089	14418
3000	34557	36749	34783
4000	65256	63382	65370
5000	106513	108607	111091
6000	156285	158057	166809
7000	225202	228223	217137
8000	289294	295005	290775
9000	400061	402182	397286
10000	569730	513819	471914
